name,Simonsiella,Treponema,Campylobacter,Helicobacter,Paracoccus,Comamonas,Pseudomonas,Xanthomonas,Agrobacterium,Bradyrhizobium,Acinetobacter,Neisseria,Eikenella,Citrobacter,Enterobacter,Escherichia,Klebsiella,Shigella,Haemophilus,Bacteroides,Butyrivibrio,Porphyromonas,Prevotella,Roseburia,Fusobacterium,Desulfovibrio,Megasphaera,Selenomonas,Capnocytophaga,Peptostreptococcus,Ruminococcus,Staphylococcus,Streptococcus,Enterococcus,Gemella,Atopobium,Clostridium,Lactobacillus,Actinomyces,Bifidobacterium,Corynebacterium,Eubacterium,Propionibacterium,Mycobacterium,Gordonia,Mycoplasma,Thermosipho,Gardnerella,Lachnospira,Veillonella,Leptotrichia,Rothia,Kingella,Phascolarctobacterium,Coprococcus,Bilophila,Dialister,Sutterella,Tissierella,Johnsonella,Catonella,Filifactor,Abiotrophia,Lautropia,Mitsuokella,Chryseobacterium,Centipeda,Eggerthella,Cryptobacterium,Pedobacter,Mogibacterium,Coprobacillus,Collinsella,Ensifer,Pseudoramibacter,Granulicatella,Bulleidia,Solobacterium,Olsenella,Catenibacterium,Anaeroglobus,Peptoniphilus,Anaerococcus,Sneathia,Shuttleworthia,Varibaculum,Dorea,Tannerella,Scardovia,Faecalibacterium,Ottowia,Alistipes,Akkermansia,Marvinbryantia,Oribacterium,Odoribacter,Subdoligranulum,Parabacteroides,Gulbenkiania,Barnesiella,Aggregatibacter,Alloscardovia,Adlercreutzia,Oscillibacter,Parvimonas,Blautia,Butyricimonas,Paraprevotella,Pyramidobacter,Lachnoanaerobaculum,Stomatobaculum,Eggerthia,Alloprevotella,Lelliottia,Coprobacter,Intestinimonas,Fusicatenibacter,Lachnoclostridium,Tyzzerella,Faecalitalea,Holdemanella,Mageeibacillus,Hungatella,Pseudopropionibacterium,Peptoanaerobacter,Emergencia,Prevotellamassilia,Criibacterium,Fournierella,Negativibacillus,Duodenibacillus,label
TCGA-CG-5720-01A,0.0,0.0,0.0,0.8950495049504951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348514851485148,0.0,0.0,0.0,0.0142574257425742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407920792079208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STAD
TCGA-CN-4741-01A,0.0,0.0,0.0104703313906924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1378834093910295,0.0,0.0,0.0,0.0995243955239312,0.0,0.607466638762568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0590475094409551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395606097868934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167055452152449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HNSC
TCGA-BR-6801-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078861625724869,0.0,0.0,0.0,0.0,0.0,0.0,0.2477358399980683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0505728913995392,0.0,0.0,0.0,0.3420266879786874,0.1653923303162213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0669829241299125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STAD
TCGA-IG-A3I8-01A,0.0,0.0,0.0,0.0677169830252006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3201010303631632,0.0,0.0,0.0,0.0661814148782782,0.0,0.0590820083590411,0.0,0.0,0.0,0.0132273153042629,0.0,0.0,0.0,0.3872727880822028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0220455255071049,0.0202818834665365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESCA
TCGA-L5-A4OT-01A,0.0,0.0,0.0122016937051926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0963980046938222,0.0,0.8106229821128212,0.0,0.0,0.0,0.0131987192608699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246882518548645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESCA
TCGA-LN-A49X-01A,0.0,0.0,0.0187887119117248,0.1390364681467642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0300619390587598,0.169098407205524,0.0,0.0,0.0,0.0,0.0,0.0413351662057947,0.0,0.0,0.0,0.350722622352198,0.0,0.0,0.0,0.0,0.0,0.0366379882278635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1277632409997293,0.0150309695293799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0150309695293799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESCA
TCGA-CR-7385-01A,0.0,0.0190266637025434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0427678989420002,0.0,0.0,0.0,0.2949974761668676,0.0,0.0388952151795356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18611926953995,0.0,0.0,0.0111971074001693,0.0,0.0,0.0968449129619877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1831947797200638,0.0,0.043609786716449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106919747355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HNSC
TCGA-BR-7722-01A,0.0,0.0,0.0,0.0378151260504201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756302521008403,0.0,0.0,0.0,0.0,0.0,0.0,0.0252100840336134,0.0,0.0,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,0.0378151260504201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756302521008403,0.0,0.0,0.0,0.0,0.0,0.0252100840336134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252100840336134,0.0,0.4033613445378152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252100840336134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1260504201680672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252100840336134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STAD
TCGA-LN-A5U5-01A,0.0,0.0292628339461309,0.0197681360488786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02454393497109,0.0,0.0,0.0,0.2756281450498247,0.0,0.1310692749533444,0.0,0.0,0.0,0.0,0.0140470375689919,0.0,0.0,0.0868036500851448,0.0,0.0,0.0,0.0,0.0,0.0119402926886383,0.0,0.0,0.0,0.0,0.0,0.0,0.0227840625143148,0.0,0.0,0.0,0.1107074315494933,0.0,0.0168961108180791,0.0,0.0,0.0,0.0,0.031650949549432,0.0,0.0,0.0,0.0,0.0,0.0142979546260482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115939909207937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1230540903152249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESCA
TCGA-L5-A4ON-01A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESCA
